Iteration	Posterior	Likelihood	Prior	alpha[1]	alpha[2]	alpha[3]	alpha[4]	alpha[5]	alpha[6]	alpha[7]	alpha[8]	alpha[9]	alpha[10]	branch_rate_mean	branch_rate_mean_log	branch_rate_sd	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates[19]	branch_rates[20]	branch_rates[21]	branch_rates[22]	branch_rates[23]	branch_rates[24]	branch_rates[25]	branch_rates[26]	branch_rates[27]	branch_rates[28]	branch_rates[29]	branch_rates[30]	branch_rates[31]	branch_rates[32]	branch_rates[33]	branch_rates[34]	branch_rates[35]	branch_rates[36]	branch_rates[37]	branch_rates[38]	branch_rates[39]	branch_rates[40]	branch_rates[41]	branch_rates[42]	branch_rates[43]	branch_rates[44]	branch_rates[45]	branch_rates[46]	branch_rates[47]	branch_rates[48]	branch_rates[49]	branch_rates[50]	branch_rates[51]	branch_rates[52]	branch_rates[53]	branch_rates[54]	branch_rates[55]	branch_rates[56]	branch_rates[57]	branch_rates[58]	branch_rates[59]	branch_rates[60]	branch_rates[61]	branch_rates[62]	branch_rates[63]	branch_rates[64]	branch_rates[65]	branch_rates[66]	branch_rates[67]	branch_rates[68]	branch_rates[69]	branch_rates[70]	branch_rates[71]	branch_rates[72]	branch_rates[73]	branch_rates[74]	branch_rates[75]	branch_rates[76]	branch_rates[77]	branch_rates[78]	branch_rates[79]	branch_rates[80]	branch_rates[81]	branch_rates[82]	branch_rates[83]	branch_rates[84]	branch_rates[85]	branch_rates[86]	branch_rates[87]	branch_rates[88]	branch_rates[89]	branch_rates[90]	branch_rates[91]	branch_rates[92]	branch_rates[93]	branch_rates[94]	branch_rates[95]	branch_rates[96]	branch_rates[97]	branch_rates[98]	branch_rates[99]	branch_rates[100]	branch_rates[101]	branch_rates[102]	branch_rates[103]	branch_rates[104]	branch_rates[105]	branch_rates[106]	clado_event_probs[1]	clado_event_probs[2]	dispersal_rate	distance_scale	epoch_times[1]	epoch_times[2]	epoch_times[3]	epoch_times[4]	epoch_times[5]	extinction_rate	extirpation_rate	net_diversification_rate	originTime	part_rate[1]	part_rate[2]	part_rate[3]	part_rate[4]	part_rate[5]	part_rate[6]	part_rate[7]	part_rate[8]	part_rate[9]	part_rate[10]	part_rate_mult[1]	part_rate_mult[2]	part_rate_mult[3]	part_rate_mult[4]	part_rate_mult[5]	part_rate_mult[6]	part_rate_mult[7]	part_rate_mult[8]	part_rate_mult[9]	part_rate_mult[10]	speciation_rate	turnover
0	-18639.5	-18758.7	119.155	0.24313	0.194693	6.83028e+07	7.59101e+07	0.141973	0.157076	0.264076	0.155356	0.121977	0.0279809	0.005642494	-2.248529	0.4519373	0.00280674	0.00690861	0.00440916	0.00654357	0.00478715	0.0046619	0.00485582	0.00839649	0.00393467	0.00262329	0.00823437	0.0053798	0.00362598	0.0043314	0.00305422	0.00539085	0.0057219	0.00571063	0.00502813	0.00813942	0.00753862	0.00469442	0.00708043	0.00464004	0.00568136	0.0105905	0.00455582	0.00688471	0.00436904	0.00588872	0.00307955	0.00547957	0.00727726	0.00571646	0.00609833	0.00350598	0.0135552	0.00651815	0.0123833	0.00719323	0.0127644	0.00526366	0.00295244	0.00489547	0.00170482	0.00377824	0.0123023	0.00642385	0.00491203	0.00622377	0.00607151	0.00321923	0.0060426	0.00830009	0.0051815	0.00505248	0.00408051	0.00637326	0.00631786	0.00840758	0.00318551	0.00531805	0.00335814	0.0105489	0.00545961	0.00504224	0.00394592	0.00504961	0.00343878	0.00622952	0.00524797	0.00139433	0.0071564	0.00975089	0.00678872	0.00252926	0.00887248	0.0101537	0.00453942	0.00618982	0.00400113	0.00766114	0.00434731	0.00585948	0.00381991	0.0035364	0.00317291	0.00224006	0.00444171	0.00430867	0.0104987	0.00434849	0.0166589	0.00986672	0.0114623	0.0103067	0.00423103	0.00274893	0.00532441	0.00257553	0.00381534	0.00391198	0.00653292	0.001904	0.00992861	0.00794621	0.278177	0.721823	0.01706114	0.8483886	6.12973	4.06046	2.55274	1.28183	0	0.09107857	1.639556	0.3369708	11.83777	1.16264	1.79541	0.0449237	0.0449586	0.188157	2.89568	2.78579	0.418576	0.591525	0.072336	0.116264	0.179541	0.00449237	0.00449586	0.0188157	0.289568	0.278579	0.0418576	0.0591525	0.0072336	0.1441164	0.6319791
10	-18634.2	-18769	134.791	0.200426	0.192873	9.52291e+07	6.18851e+07	0.128502	0.190418	0.250471	0.121375	0.121215	0.112207	0.006149797	-2.211139	0.3927413	0.00627394	0.00657359	0.00551976	0.00594392	0.00305935	0.00357304	0.00476003	0.00676736	0.0165666	0.00606196	0.00837357	0.00604928	0.00456415	0.00589653	0.00627675	0.00832406	0.00326784	0.00717682	0.00699912	0.00825567	0.00601732	0.00574996	0.0072984	0.00527861	0.00552839	0.00578141	0.00536008	0.00826894	0.00347312	0.005959	0.00465402	0.00533353	0.0063985	0.00647735	0.00617257	0.00355952	0.0107445	0.00565166	0.0141523	0.00608461	0.00794551	0.00393409	0.00215712	0.00632935	0.00735866	0.00410503	0.00599722	0.00545291	0.00461437	0.00981956	0.00423621	0.00333582	0.00611292	0.0073088	0.00699745	0.00508807	0.0037498	0.0104986	0.0052057	0.00586987	0.00431508	0.00767384	0.00194457	0.00240133	0.00361704	0.00567913	0.00479152	0.00587385	0.00257052	0.00521945	0.00345314	0.00577618	0.00361761	0.00837791	0.00677537	0.00397083	0.00854094	0.00881659	0.00481599	0.00340008	0.00708967	0.00567472	0.00559856	0.00612814	0.00553788	0.00443565	0.0027603	0.00406616	0.0042255	0.0069648	0.00405891	0.00441994	0.0100391	0.00894088	0.00927127	0.00534896	0.00428892	0.00269848	0.00854133	0.00241746	0.00405519	0.00366585	0.00724158	0.00739813	0.00431113	0.00747342	0.919464	0.080536	0.02025496	0.8437802	6.27369	4.2575	2.82203	1.29383	0	0.02928554	1.628233	0.3057283	13.04748	1.23913	1.44194	0.0458265	0.0413848	0.265201	2.98011	2.83127	0.496959	0.605882	0.0522941	0.123913	0.144194	0.00458265	0.00413848	0.0265201	0.298011	0.283127	0.0496959	0.0605882	0.00522941	0.173181	0.1691037
20	-18624	-18750.4	126.427	0.21532	0.191257	1.5801e+07	1.96761e+07	0.0033266	0.171845	0.237021	0.152913	0.123681	0.0975883	0.006192851	-2.208109	0.4203903	0.00516695	0.00682535	0.00356112	0.00453476	0.0122754	0.00386973	0.00268995	0.00883723	0.00830565	0.00504632	0.0121682	0.00635074	0.0097441	0.00648523	0.00736642	0.00599717	0.00384216	0.00674221	0.00537143	0.0100017	0.00704345	0.0058137	0.00719224	0.00815659	0.00519445	0.00670518	0.00376759	0.00902268	0.00465803	0.00650849	0.00247182	0.00459202	0.00643387	0.00635701	0.00442262	0.00348128	0.00312146	0.00516408	0.0166239	0.00553295	0.00986458	0.00773122	0.00356748	0.00602493	0.00518869	0.0055538	0.00837435	0.00501325	0.00498581	0.00925896	0.00979679	0.0039939	0.00586178	0.00492126	0.00397085	0.00454243	0.00509754	0.0145852	0.00383696	0.00748978	0.00423025	0.00666027	0.00422183	0.00330373	0.00771852	0.00520241	0.00679718	0.00340834	0.00400453	0.00865417	0.00801386	0.00492576	0.00609732	0.00268916	0.00894092	0.00487788	0.00628602	0.00324517	0.00711782	0.00586761	0.00485329	0.00521614	0.00395505	0.00701277	0.00521952	0.0036901	0.00287697	0.00563918	0.00432682	0.00850879	0.00462651	0.00322074	0.00879097	0.006579	0.00602522	0.00992964	0.00659091	0.00268573	0.00949132	0.00220151	0.00473498	0.0035683	0.00567741	0.00452562	0.0100251	0.0134691	0.605396	0.394604	0.008686747	0.9999757	6.29809	4.2328	2.71151	1.2855	0	0.02043239	1.405017	0.2987577	13.3519	1.14243	1.65271	0.0434077	0.0472394	0.290469	2.96921	2.5823	0.569423	0.6476	0.0551999	0.114243	0.165271	0.00434077	0.00472394	0.0290469	0.296921	0.25823	0.0569423	0.06476	0.00551999	0.1143482	0.1786857
30	-18639	-18765.1	126.051	0.224325	0.233054	1.26829e+07	7.70708e+07	0.0655307	0.17809	0.239025	0.135435	0.14056	0.493813	0.006568961	-2.182503	0.4166936	0.00552578	0.00847193	0.00318255	0.00671577	0.010479	0.00381049	0.00352507	0.00605676	0.00825403	0.0047529	0.0100179	0.00618833	0.0112786	0.00606413	0.00587749	0.00870448	0.00418829	0.00587516	0.00811569	0.00798399	0.00787419	0.00444142	0.00704988	0.00855788	0.00687557	0.00698884	0.00633961	0.0105214	0.00583035	0.00596267	0.00493067	0.00460747	0.00488297	0.0067402	0.00529953	0.00239056	0.00541033	0.00615544	0.0136017	0.00551875	0.00854088	0.00724518	0.0034097	0.00460465	0.00468441	0.00543259	0.00608031	0.00616094	0.0047366	0.00810292	0.00978118	0.003281	0.00449614	0.00653821	0.00968432	0.00412524	0.00777196	0.00583642	0.00465119	0.00577818	0.00573803	0.00517629	0.00426902	0.00516851	0.00756289	0.00411913	0.00734726	0.00390902	0.00368524	0.00664112	0.00610767	0.00850954	0.00237024	0.00477555	0.00441089	0.00818137	0.00369225	0.0110368	0.00977947	0.00616705	0.00540012	0.00628664	0.00509229	0.00474115	0.00961336	0.0029036	0.00340524	0.00595476	0.00480613	0.00515327	0.00455299	0.00595282	0.00898143	0.00823475	0.00840001	0.00766799	0.00893376	0.00334689	0.00490367	0.00602147	0.004781	0.0064572	0.0175386	0.00348683	0.00785827	0.00929005	0.561844	0.438156	0.01837125	1.049182	6.05804	4.14757	2.84307	1.24557	0	0.07214749	2.480218	0.3047863	13.08781	1.2041	1.59781	0.0486331	0.0444775	0.240054	3.07381	2.76707	0.467433	0.487471	0.069149	0.12041	0.159781	0.00486331	0.00444775	0.0240054	0.307381	0.276707	0.0467433	0.0487471	0.0069149	0.2343819	0.3078202
40	-18627.4	-18757.7	130.349	0.259338	0.17646	7.85492e+07	1.90198e+07	0.0590455	0.170001	0.270771	0.25527	0.124184	0.111813	0.005875651	-2.230944	0.4414663	0.00568832	0.00413887	0.0052511	0.00516208	0.0118978	0.00440407	0.00360801	0.00656671	0.00341276	0.00366771	0.00971844	0.00655047	0.00797721	0.0080884	0.00388089	0.0054308	0.00397133	0.00560825	0.00445304	0.00968782	0.00613167	0.00463891	0.00661794	0.00716635	0.00475251	0.0062264	0.00405163	0.0116487	0.00495864	0.00498471	0.00435834	0.00501507	0.00775693	0.00646033	0.00416944	0.00247431	0.00568127	0.00664034	0.0166058	0.00471761	0.0062913	0.00380095	0.00368851	0.00481676	0.00488406	0.00414084	0.0147194	0.00616841	0.00412071	0.00916093	0.00731276	0.00432835	0.00551616	0.011433	0.00437342	0.00424572	0.00447056	0.003213	0.00546068	0.00641956	0.00655246	0.00569456	0.00829401	0.0045124	0.0058326	0.00705827	0.0122245	0.00192805	0.00234908	0.0102336	0.00269362	0.00410335	0.00448698	0.00690478	0.00607685	0.00505372	0.00969067	0.00410518	0.00701155	0.00313593	0.00531328	0.00437545	0.00558702	0.00616041	0.00572312	0.00251056	0.00363149	0.00422929	0.00623618	0.00821307	0.00584941	0.00510466	0.0118605	0.00776852	0.00493195	0.00830774	0.00885775	0.00407989	0.00321073	0.00810042	0.00513981	0.00394496	0.00565854	0.00371757	0.00338008	0.00801007	0.305946	0.694054	0.05231893	0.510089	6.10948	3.99716	2.44285	1.22203	0	0.03964824	2.096501	0.34662	11.50823	1.15078	1.60457	0.0407965	0.0462436	0.189835	2.7334	2.94625	0.512851	0.710165	0.0651123	0.115078	0.160457	0.00407965	0.00462436	0.0189835	0.27334	0.294625	0.0512851	0.0710165	0.00651123	0.0577386	0.6866852
50	-18631.6	-18747.6	116.045	0.279909	0.170729	6.2739e+07	4.0258e+07	0.126396	0.182722	0.249525	0.124102	0.086948	0.0756269	0.006171038	-2.209642	0.3717959	0.0054367	0.00614421	0.00390663	0.00351627	0.00931039	0.00458335	0.00455617	0.00898302	0.00751696	0.00355997	0.0125841	0.00793808	0.00828514	0.00957263	0.0043471	0.0137793	0.00781505	0.0071118	0.00518889	0.0100885	0.00710644	0.0047851	0.00901475	0.0123739	0.00655223	0.00685575	0.0050021	0.0124614	0.00421061	0.00505227	0.00446844	0.00418761	0.00566901	0.00748597	0.00386283	0.00285379	0.00630737	0.00743078	0.0159455	0.00474952	0.0115586	0.00422525	0.00232331	0.00458588	0.00393339	0.00507132	0.0142877	0.00710264	0.00532428	0.00601825	0.00433311	0.00398395	0.00582711	0.00687956	0.00457959	0.00359673	0.00731566	0.00434044	0.00725591	0.00791246	0.00860992	0.0057733	0.00755191	0.00346323	0.0103402	0.00363814	0.00442342	0.0043697	0.00346342	0.00515228	0.00558234	0.00452119	0.00196523	0.0102012	0.00683871	0.00645729	0.00982665	0.00324284	0.00353008	0.00491387	0.00564478	0.00647127	0.00472045	0.00906976	0.00840972	0.00293155	0.00360553	0.0064639	0.00691574	0.00445418	0.00292095	0.00521271	0.0129422	0.00965854	0.00626284	0.0106278	0.00528022	0.00506963	0.00499545	0.00271472	0.008285	0.0040822	0.00765786	0.00521455	0.00435881	0.00726209	0.265255	0.734745	0.03011347	0.6449565	6.28246	4.09234	2.96133	1.21188	0	0.03638075	2.371165	0.3442194	11.58849	1.10825	1.50863	0.0523494	0.0566654	0.241518	3.00224	3.04836	0.402285	0.518951	0.0607494	0.110825	0.150863	0.00523494	0.00566654	0.0241518	0.300224	0.304836	0.0402285	0.0518951	0.00607494	0.07289518	0.499083
60	-18611.7	-18761.4	149.75	0.193803	0.204918	2.90526e+07	2.70342e+07	0.0573032	0.147399	0.238783	0.136157	0.118293	0.0480931	0.005406446	-2.267088	0.3633465	0.00575767	0.00523325	0.00388121	0.00418997	0.00532383	0.00358567	0.00285067	0.00723722	0.0061176	0.00351579	0.0122989	0.0061172	0.00475413	0.00870924	0.00402571	0.00794437	0.00383879	0.00808457	0.0054154	0.00933125	0.00516722	0.00424018	0.00777904	0.00525434	0.0054186	0.00711679	0.00436475	0.00923313	0.00429536	0.00707388	0.00443371	0.0045612	0.00377794	0.00795073	0.00367002	0.00287771	0.00821675	0.00704368	0.0134728	0.00705371	0.00718162	0.00338492	0.00448328	0.0066276	0.00381153	0.00531326	0.00701505	0.0039706	0.0034912	0.00718396	0.00582934	0.00423367	0.0055134	0.00553931	0.0040706	0.00535453	0.00344975	0.00493084	0.00741789	0.00591748	0.00471072	0.00561824	0.00442197	0.00341752	0.00884074	0.00709046	0.00467853	0.00541068	0.00349293	0.00514173	0.00392125	0.00501773	0.00273165	0.00514566	0.00363515	0.00385784	0.00821432	0.00435096	0.0028106	0.00404793	0.00549456	0.004537	0.00425858	0.00568017	0.00781219	0.00543053	0.0042962	0.0033172	0.00263955	0.00359167	0.00474813	0.00443102	0.0109342	0.00845676	0.0064633	0.00691682	0.00729283	0.00198876	0.00877491	0.00409308	0.00624717	0.00700664	0.00276938	0.00255967	0.00295283	0.00692623	0.277915	0.722085	0.04481756	0.4466586	6.09385	4.09382	2.94163	1.28996	0	0.0233727	1.70424	0.3491846	11.42371	1.20583	1.70129	0.0404657	0.059906	0.247478	2.856	2.69324	0.479425	0.646359	0.0700058	0.120583	0.170129	0.00404657	0.0059906	0.0247478	0.2856	0.269324	0.0479425	0.0646359	0.00700058	0.1846425	0.1265835
70	-18634.5	-18761.4	126.884	0.237504	0.232868	5.31477e+07	9.91101e+07	0.195798	0.151811	0.237701	0.135842	0.115165	0.120461	0.00600664	-2.221368	0.4920142	0.00366957	0.0041367	0.00305198	0.00532557	0.00399304	0.00349811	0.00571059	0.00461085	0.00505445	0.00321028	0.00913922	0.00771167	0.00565817	0.00574585	0.00393009	0.00646176	0.0030608	0.00473757	0.00502159	0.0113269	0.00659734	0.0054703	0.00792353	0.00682178	0.00590892	0.00462115	0.00500845	0.00882784	0.00507964	0.00491474	0.00484482	0.00430516	0.00349594	0.00617474	0.00502755	0.00385628	0.00578795	0.00761606	0.016248	0.0047876	0.0121847	0.00433503	0.00321663	0.00428441	0.00597976	0.00629631	0.00655519	0.00613784	0.0040419	0.00590463	0.00468812	0.00384319	0.00767234	0.00729066	0.00614066	0.00339867	0.00647028	0.00493992	0.00331199	0.00337224	0.00632499	0.00658728	0.00832096	0.00225047	0.0100859	0.00807819	0.0156278	0.00775697	0.00392268	0.0036575	0.00428555	0.00900092	0.00291162	0.0043494	0.00371224	0.0082859	0.0171114	0.00204114	0.00425702	0.00651695	0.00503528	0.00269207	0.00447315	0.0111461	0.00283465	0.00286803	0.00410832	0.00412129	0.00518669	0.00368257	0.00485536	0.00507856	0.0111656	0.00492034	0.00438462	0.00648929	0.00357574	0.0023494	0.00575972	0.00482282	0.00671617	0.00940305	0.0062307	0.0046818	0.00595344	0.00911518	0.373283	0.626717	0.05457628	0.6926709	6.24506	4.21868	2.22175	1.12958	0	0.005047264	2.243741	0.3376887	11.81261	1.44126	1.69383	0.0493005	0.0653733	0.230062	2.76479	2.50476	0.486325	0.697184	0.0671159	0.144126	0.169383	0.00493005	0.00653733	0.0230062	0.276479	0.250476	0.0486325	0.0697184	0.00671159	0.09134649	0.05525405
80	-18629.5	-18754.3	124.869	0.242169	0.198125	6.53994e+07	9.07555e+06	0.0525493	0.187507	0.266658	0.170973	0.103567	0.0640522	0.006883658	-2.162181	0.412087	0.00674158	0.00978525	0.00420325	0.0043342	0.00527615	0.00488472	0.00805328	0.0114803	0.00465544	0.00529617	0.0127721	0.00608515	0.00396482	0.00828722	0.00468567	0.00707894	0.00381715	0.00867498	0.00999863	0.0111927	0.00704273	0.00459727	0.00705674	0.00822855	0.00554566	0.00639215	0.00558897	0.0117437	0.00474372	0.0065296	0.00501635	0.00530689	0.00441461	0.0064829	0.00388724	0.00296143	0.00476532	0.00694816	0.0109844	0.00748786	0.0106348	0.00358784	0.0037346	0.00504269	0.00915982	0.00425847	0.00967115	0.00578614	0.00509799	0.00741469	0.00362784	0.00551397	0.00785315	0.0132155	0.00712197	0.00285516	0.0121144	0.00670509	0.00874588	0.00582029	0.00877619	0.00635484	0.00345631	0.0016438	0.00762682	0.00681481	0.00533682	0.00525007	0.00288091	0.00442042	0.00430972	0.00474714	0.00379691	0.00894622	0.00606932	0.00687497	0.0093623	0.00633665	0.00618522	0.00707116	0.0061593	0.00499738	0.0100361	0.00604095	0.00538639	0.00851073	0.00448256	0.00773549	0.00589749	0.00297604	0.00422868	0.00359653	0.0140821	0.00933625	0.00345781	0.00470506	0.0067476	0.00286433	0.00412204	0.00994299	0.00915047	0.00383058	0.00988455	0.00717297	0.00806771	0.0121914	0.406346	0.593654	0.02134053	0.6978654	6.13912	3.93403	2.63536	1.18809	0	0.09360164	1.228249	0.3768638	10.58468	1.38882	1.7235	0.0463411	0.0506513	0.210564	2.73069	2.68273	0.510867	0.590021	0.0658097	0.138882	0.17235	0.00463411	0.00506513	0.0210564	0.273069	0.268273	0.0510867	0.0590021	0.00658097	0.167107	0.5601301
90	-18641.5	-18761.9	120.412	0.263968	0.168536	5.10037e+07	2.71602e+07	0.00774609	0.171656	0.205341	0.158695	0.137574	0.0678207	0.006417773	-2.192616	0.4381812	0.00383346	0.00601101	0.0037309	0.00546985	0.00656829	0.00476108	0.00338241	0.006233	0.0124657	0.00709086	0.00824998	0.00862993	0.0037719	0.00363224	0.00397178	0.00379775	0.00300948	0.00813853	0.00670104	0.0117554	0.0079019	0.00366458	0.00811231	0.005943	0.00481193	0.00594943	0.00519609	0.00948538	0.00478183	0.00630459	0.00567645	0.00375686	0.0040741	0.0080573	0.00464202	0.00283501	0.00933812	0.00550173	0.016322	0.0059841	0.0098241	0.0117022	0.0060969	0.00389044	0.0157593	0.00539389	0.00732378	0.00477784	0.00352029	0.00720353	0.0051269	0.00455196	0.00680113	0.00963208	0.00599816	0.00622007	0.00725715	0.00701488	0.00400612	0.00865515	0.00686123	0.00267822	0.00396889	0.00221782	0.0160902	0.00365675	0.0101937	0.00388816	0.00298809	0.00563157	0.00329815	0.00831806	0.00612709	0.00598478	0.00575555	0.0109728	0.00835175	0.0141802	0.00720759	0.00424398	0.00896835	0.00642506	0.00624439	0.00745469	0.00469998	0.00652508	0.00350455	0.00608122	0.00453966	0.00480492	0.00300471	0.00378108	0.014625	0.00639506	0.00482019	0.0102218	0.00447101	0.0018513	0.00439537	0.0054782	0.00953587	0.00510861	0.00458592	0.00798398	0.00658198	0.0121766	0.198841	0.801159	0.02620373	0.7381927	6.11555	4.25602	2.88068	1.29962	0	0.03824641	1.320449	0.3674258	10.85657	1.2202	1.68474	0.0426001	0.0669081	0.18663	3.01023	2.53292	0.458645	0.735193	0.0619337	0.12202	0.168474	0.00426001	0.00669081	0.018663	0.301023	0.253292	0.0458645	0.0735193	0.00619337	0.0901355	0.4243212
